Quaywall nr,leeftijd,geometrie,rak,rakdeel,aantasting houten palen,aantasting houten palen score1,beschadigde kesp,beschadigde kesp score3,beschadigde paal-kesp/paal-vloer,paal-kesp/paal-vloer score4,risicoscore specialist
AMS0204-A,120.0,"LINESTRING (121848.078000002 486610.011999998, 121847.546 486611.388, 121846.441 486611.561999999, 121845.357000001 486611.833999999, 121844.300999999 486612.202, 121843.282000002 486612.662, 121842.309 486613.212000001, 121841.388 486613.846999999, 121840.528000001 486614.561000001, 121839.734999999 486615.348999999, 121839.015000001 486616.204999998, 121838.375 486617.122000001, 121838.372000001 486617.127, 121834.473999999 486623.943, 121833.940000001 486625, 121831.368000001 486630.671, 121830.971999999 486631.522, 121830.502 486632.335000001, 121829.960999999 486633.103, 121829.353999998 486633.818999998, 121828.684999999 486634.478, 121827.960000001 486635.074000001, 121827.184999999 486635.603, 121826.908 486635.769000001, 121775.65697265729 486665.35908820265)",AMS0204,A,85.0,4.0,97.0,4.0,25.0,2.0,9.0
AMS0204-D,120.0,"LINESTRING (121745.26981089968 486679.84106479643, 121701.49398053726 486684.27690474846)",AMS0204,D,86.0,4.0,100.0,4.0,30.0,3.0,8.0
AMS0204-E,120.0,"LINESTRING (121701.49398053726 486684.27690474846, 121670.65191823646 486687.4021556237)",AMS0204,E,83.0,4.0,100.0,4.0,44.0,3.0,7.0
AMS0204-I,120.0,"LINESTRING (121602.57356450871 486694.40926867625, 121589.623 486691.368999999, 121565.01501262689 486689.26987669274)",AMS0204,I,83.0,4.0,100.0,4.0,0.0,1.0,9.0
AMS0404-A,120.0,"LINESTRING (122017.730999999 486305.721000001, 122034.730999999 486250, 122038.756999999 486236.802999999, 122038.780999999 486236.754000001, 122038.846000001 486236.666000001, 122038.885000002 486236.627, 122038.973999999 486236.563999999, 122039.03682904641 486236.53849513753)",AMS0404,A,91.0,4.0,94.0,4.0,76.0,4.0,12.0
BDG0101-B,120.0,"LINESTRING (119606.78672902327 487170.9288619742, 119593.572999999 487202.774, 119593.414000001 487203.136, 119593.241999999 487203.491, 119593.055 487203.84, 119592.853999998 487204.18, 119592.640999999 487204.513, 119592.414000001 487204.837000001, 119592.175000001 487205.151000001, 119591.923 487205.456, 119591.66 487205.750999998, 119591.385000002 487206.035, 119591.098999999 487206.307999998, 119590.802999999 487206.57, 119590.497000001 487206.818999998, 119590.18 487207.056000002, 119589.855 487207.280999999, 119589.521000002 487207.493000001, 119589.179000001 487207.691, 119588.829999998 487207.875, 119588.473000001 487208.046, 119588.109999999 487208.202, 119587.741 487208.344000001, 119587.366999999 487208.471000001, 119586.988000002 487208.583999999, 119586.605 487208.681000002, 119586.219000001 487208.763, 119585.829 487208.829999998, 119585.436999999 487208.881000001, 119585.043000001 487208.916999999, 119584.649 487208.936999999, 119584.254000001 487208.941, 119583.857999999 487208.93, 119583.478 487208.905000001, 119583.098999999 487208.864999998, 119582.721000001 487208.809999999, 119582.346000001 487208.741, 119581.973999999 487208.658, 119581.62289595381 487208.56570435734)",BDG0101,B,75.0,4.0,64.0,4.0,18.0,2.0,10.666666666666666
BDG0102-01-A,110.0,"LINESTRING (119647.8642 487155.0359, 119647.861000001 487155.045000002, 119647.645 487154.969000001, 119646.838 487154.682, 119646.254999999 487154.475000001, 119645.704999998 487154.278999999, 119646.741999999 487151.602000002, 119647.780999999 487149.037, 119651.153999999 487140.936999999, 119652.66774376507 487137.3538175393)",BDG0102-01,A,83.0,4.0,100.0,4.0,14.0,2.0,12.0
BDG0102-01-B,120.0,"LINESTRING (119652.66774376507 487137.3538175393, 119666.48279199757 487104.6522206007)",BDG0102-01,B,100.0,4.0,70.0,4.0,38.0,3.0,12.0
BDG0201-B,120.0,"LINESTRING (119726.22110985528 486883.9545571762, 119714.749000002 486911.329, 119703.999000002 486937.409000002, 119677.960000001 486999.999000002, 119677.959600002 487000, 119652.130899999 487061.370999999)",BDG0201,B,57.0,4.0,54.0,4.0,30.0,3.0,9.0
BDG0302-A,120.0,"LINESTRING (119764.289799999 486869.4899, 119771.002999999 486852.912999999, 119777.388 486837.497000001, 119778.495999999 486834.861000001, 119779.612 486832.228, 119780.734999999 486829.598000001, 119782.978 486824.265000001, 119787.267999999 486814.009, 119791.197999999 486804.548, 119791.36316038527 486804.1475585023)",BDG0302,A,90.0,4.0,90.0,4.0,20.0,2.0,6.0
BDG0302-B,129.0,"LINESTRING (119791.36316038527 486804.1475585023, 119794.903000001 486795.565000001, 119823.206999999 486727.890000001, 119830.600000001 486710.162, 119836.439800002 486696.657000002)",BDG0302,B,88.0,4.0,59.0,4.0,52.0,4.0,8.0
BDG0401-A,131.0,"LINESTRING (119859.776099999 486561.769099999, 119854.26398503142 486575.1805349925)",BDG0401,A,100.0,4.0,0.0,1.0,17.0,2.0,4.0
